frame,x,y,z
1,0.0062956,0.4045673,-0.3167865
2,0.007385987,0.4174405,-0.3162605
3,0.008501701,0.426225,-0.3168174
4,0.01222023,0.4464007,-0.3166609
5,0.01397976,0.4556136,-0.3162246
6,0.01575962,0.4654159,-0.316002
7,0.01702518,0.46537,-0.3155301
8,0.01833269,0.4712616,-0.3149699
9,0.01848236,0.4695227,-0.3143332
10,0.01893112,0.4706783,-0.3137551
11,0.01806164,0.4667373,-0.3131853
12,0.01693526,0.4600125,-0.3121041
13,0.01665923,0.4568756,-0.3113152
14,0.01573082,0.4494624,-0.3086598
15,0.01490052,0.4434723,-0.3069049
16,0.01355568,0.4285839,-0.3066971
17,0.01250534,0.4135502,-0.3081333
18,0.01203464,0.4013379,-0.3111392
19,0.01141666,0.3950281,-0.3115255
20,0.01037798,0.3871296,-0.3119948
21,0.007476628,0.3939249,-0.3076696
22,0.004052354,0.3861065,-0.3056323
23,0.004728292,0.394307,-0.3115914
24,0.003604571,0.3963577,-0.3121843
25,0.001256818,0.4094346,-0.3114667
26,-0.0006872648,0.4184673,-0.3122103
27,-0.003672615,0.4296958,-0.3121181
28,-0.006272624,0.4396355,-0.3121983
29,-0.008912425,0.4473983,-0.3129239
30,-0.01159853,0.45479,-0.3131367
31,-0.01415468,0.4630954,-0.3135455
32,-0.01652098,0.4664148,-0.3136758
33,-0.01842071,0.4689029,-0.3142271
34,-0.021191,0.4695234,-0.3153256
35,-0.02276057,0.4698207,-0.3157739
36,-0.02377275,0.461653,-0.3158813
37,-0.02525344,0.4570323,-0.3161749
38,-0.02705623,0.4511363,-0.3156135
39,-0.02731107,0.4406972,-0.3151433
40,-0.02828875,0.4329711,-0.3149892
41,-0.02732592,0.4158999,-0.3174655
42,-0.02742115,0.40459,-0.3183653
43,-0.02764934,0.4018061,-0.3177485
44,-0.02767775,0.3970911,-0.318327
45,-0.02676601,0.3949175,-0.3174986
46,-0.02541161,0.3929383,-0.31958
47,-0.02402803,0.391596,-0.3208488
